Country,2017,2016,2015,2014,2013,2012,2011,2010
Algeria,0,0,0,0,0,0,0,1
Angola,13316,13197,13046,12763,12399,12437,12763,13351
Benin,7328,7137,6872,6709,6633,6940,7554,8273
Botswana,7,2,1,5,1,0,1,7
Burkina Faso,27791,28453,29833,31910,33414,37028,40873,43695
Burundi,5253,5161,5044,4964,4857,4876,4724,4801
Cape Verde,1,1,0,2,0,0,1,1
Cameroon,11566,11999,12445,12638,12484,12301,11848,12340
Central African Rep.,4804,4998,5289,5668,6106,6739,7426,8165
Chad,8729,8900,9206,9749,10632,11575,12809,13695
Comoros,8,2,3,5,134,126,61,90
Republic of Congo,1993,1996,2001,2000,1994,1951,1948,1962
Côte d'Ivoire,9579,9579,9800,9793,10871,12502,14960,16925
Democratic Republic of the Congo,46007,46408,46276,46449,46747,48763,53765,62375
Djibouti,0,5,23,28,17,0,0,0
Egypt,0,0,0,0,0,0,4,2
Eq. Guinea,669,728,807,919,1017,1067,1079,1047
Eritrea,222,198,129,227,88,85,142,161
Swaziland,1,0,1,2,1,1,0,
Ethiopia,5369,5705,6795,6694,9520,8816,8489,14514
Gambia,674,667,659,652,644,636,631,619
Ghana,10917,11223,11749,12625,13686,14403,14954,15241
Guinea,7562,7962,8542,9428,10278,11578,12479,12896
Guinea-Bissau,688,684,661,660,657,660,664,664
Kenya,12467,12419,12331,12242,12111,11990,11834,11375
Liberia,2227,2213,2158,2176,2208,2354,2554,2764
Madagascar,5950,4331,7270,3338,4642,4670,2155,2399
Malawi,7077,7177,7384,7737,8161,8819,9085,9506
Mali,12425,13974,16151,18224,19765,19798,19409,17725
Mauritania,1421,1402,1383,1355,1296,1274,1250,1226
Morocco,0,0,0,0,0,4,0,2
Mozambique,14713,15269,15985,16804,17334,17343,17478,17542
Namibia,229,106,51,67,20,15,9,6
Niger,17155,18226,18769,20025,21180,22040,22258,21750
Nigeria,81640,90378,98478,107843,116472,125290,136533,146734
Rwanda,3270,3242,3218,3202,3200,3209,3218,3253
Sao Tome and Principe,0,0,0,0,11,7,19,14
Senegal,4523,4475,4424,4364,4252,4256,4271,4284
Sierra Leone,17590,17550,17700,18143,19129,20678,22419,23575
Somalia,1386,1353,1316,1103,937,795,771,912
South Africa,274,34,110,174,105,72,54,83
S. Sudan,6069,5821,5570,5321,5075,5006,5136,5286
Sudan,3885,3800,3780,3312,2854,2543,2435,2462
Togo,5341,5381,5268,4933,4689,4676,4814,5064
Uganda,14390,14101,13809,14003,14254,15821,18393,21558
Tanzania,22301,21981,21662,21330,20990,20124,20131,20281
Zambia,7618,7588,7526,7451,7042,6865,6688,6544
Zimbabwe,3172,1894,2769,2799,2211,1515,1839,2803
