Country,perH
Algeria,1.9
Angola,48.8
Benin,59.7
Botswana,11.8
Burkina Faso,49.6
Burundi,65.4
Cape Verde,4.1
Cameroon,45.2
Central African Rep.,82.1
Chad,101
Comoros,50.7
Republic of Congo,38.7
Côte d'Ivoire,47.2
Democratic Republic of the Congo,59.8
Djibouti,31.3
Egypt,2
Eq. Guinea,22.3
Eritrea,45.6
Swaziland,27.9
Ethiopia,43.7
Gabon,20.6
Gambia,29.7
Ghana,18.8
Guinea,44.6
Guinea-Bissau,35.3
Kenya,51.2
Lesotho,44.4
Liberia,41.5
Libya,0.6
Madagascar,30.2
Malawi,28.3
Mali,70.7
Mauritania,38.6
Mauritius,0.6
Morocco,1.9
Mozambique,27.6
Namibia,18.3
Niger,70.8
Nigeria,68.6
Rwanda,19.3
Sao Tome and Principe,11.4
Senegal,23.9
Seychelles,0.2
Sierra Leone,81.3
Somalia,86.6
South Africa,13.7
S. Sudan,63.3
Sudan,17.3
Togo,41.6
Tunisia,1
Uganda,31.6
Tanzania,38.4
Zambia,34.9
Zimbabwe,24.6
